rc1,rc2,rc3,zs1,zs2,zs3,nfp,etabar,B2c,p2,axis_length,iota,max_elongation,min_L_grad_B,min_R0,r_singularity,L_grad_grad_B,B20_variation,beta,DMerc_times_r2
-0.53892386,0.023655573,-0.002211652,0.6618971,-0.034636363,0.0028779546,4.0,0.9549498,-2.7394736,-107470.25,16.518648,2.9111764,5.509216,0.48849136,0.48252007,0.13240409,0.36622202,2.4362023,0.0023675596,0.5729148
-0.5013714,-0.020283721,-0.013659642,0.66118085,-0.00080391485,0.017970277,3.0,0.8519602,-2.7206779,-214660.53,12.8407347941695,2.1309930005052373,6.316287049198024,0.438345094331215,0.4646852528676388,0.1041697184382747,0.2811647298993293,2.5112926606447297,0.0029271504468916,0.7041993311567506
-0.52114856,-0.0049552135,0.004284923,-0.61285764,0.01988921,-0.0061038253,4.0,-1.154032,-1.1792198,-289313.12,15.738696,-2.8194098,4.0526567,0.43022987,0.47818115,0.115045816,0.26681542,3.0387473,0.004811934,0.54904383
0.6656811,0.007899821,-0.0036778082,-0.6052121,-0.00042330567,0.009792337,3.0,-1.142531,-2.8325415,-323314.66,13.779600452413147,2.149163338149524,3.142325567211953,0.4161955298982775,0.3458965052850545,0.1148744736354149,0.2216738758356899,1.9888227413287645,0.0053614508005365,0.4147195971003548
0.6156795,0.035196073,-0.0053189863,0.729385,0.056485556,-0.0010720496,3.0,1.2803341,-0.3613239,-50098.125,14.3731985,-2.209244,6.405965,0.53699857,0.42483556,0.08592044,0.34678203,1.507523,0.00046475529,0.15495832
-0.65422046,0.0014667241,-0.013054994,-0.6100482,-0.023260083,-0.011830611,3.0,-1.4391384,-1.8413675,-7569.3438,13.770368193550276,-2.29402178398779,3.981042051964193,0.4712316164164852,0.3341912683099506,0.1088572508139596,0.3013352143582958,1.6890017783758895,0.000112715285802,0.000176862993735
-0.51156557,0.009776926,0.009815888,-0.5657196,0.009956263,0.011799082,4.0,1.364202,0.1272766,-27566.688,15.090832,-2.852291,4.2127795,0.45472273,0.50802726,0.1861139,0.34834352,0.8666842,0.0011999194,0.038642336
0.50092703,-0.05950461,0.011714604,-0.69592094,0.038965937,-0.01978124,3.0,-1.0752879,-1.7227805,-681228.1,13.295305393458108,2.141948663131449,6.603774637277258,0.4402948822443294,0.4278537556529045,0.0537160429036631,0.2650783781787638,2.973829693041222,0.0024700768073368,0.003150021047702
-0.64592975,0.061591253,0.0064411527,-0.60981375,0.055984788,0.0053317836,3.0,1.4107212,0.64660573,-207009.1,13.619994313976456,-2.0785635855943227,4.194848961651415,0.5130940727355666,0.4221026515588163,0.0652453514240211,0.2412024837351264,3.657098101594574,0.0011073844924183,0.2751481960272287
-0.4946506,0.0077741984,-0.009181692,0.5716361,-0.0060947635,0.010626914,5.0,-1.5540923,-0.781103,-172799.62,18.00239184872677,3.541954961371168,2.9804986426475337,0.4743248517223783,0.5039419038221238,0.1999748777224543,0.3160261349085551,0.8200150564126951,0.0086836745711545,0.0162110610282145
-0.6614021,0.014559409,0.011350426,0.5038973,0.03929771,-0.012240952,3.0,1.2180283,-1.4461248,-100086.125,13.02429948082306,1.9651577583446949,3.510375214379476,0.4045717770057067,0.364507728256285,0.1048966138301276,0.2258793737754003,2.0953127444189565,0.001383906270312,0.0776987892062399
-0.64798373,0.0132900365,-0.004688877,-0.54188627,-0.021409689,0.001955736,2.0,0.78353614,-1.8977716,-25178.344,10.054042,-1.4987062,5.6614347,0.28875482,0.36061743,0.071415626,0.17685948,2.7698066,0.00016137028,0.033745684
0.6549945,0.00424806,0.00010131797,0.6710613,0.011211192,0.00023407693,3.0,1.1572943,-1.9746308,-226154.03,14.215732,-2.185846,3.7107065,0.47944498,0.34915227,0.14559838,0.29296136,0.7945907,0.006024587,0.20396538
0.5126973,0.02778605,0.0019791324,-0.59339833,-0.03792848,-0.0077417404,5.0,1.489881,-1.4574423,-58969.36,18.626854635671428,3.5383166921795337,2.858716220103108,0.4792279040896534,0.5131096381228416,0.1762390779947664,0.2931746276247566,2.1885186727316355,0.0023016574970588,0.1810231688780179
